t	u	y
33.5	98.08782288	142.9789991
34	98.08782288	139.4025363
34.5	98.08782288	137.9038278
35	98.08782288	136.8909725
35.5	98.08782288	133.2169009
36	98.08782288	138.3159794
36.5	98.08782288	143.4841412
37	98.08782288	136.80914
37.5	98.08782288	143.6256388
38	98.08782288	149.4669959
38.5	98.08782288	142.8054738
39	98.08782288	141.7686296
39.5	98.08782288	148.2890181
40	98.08782288	144.0338739
40.5	98.08782288	144.6113292
41	98.08782288	151.3071848
41.5	98.08782288	151.938461
42	98.08782288	146.1815362
42.5	98.08782288	142.0099265
43	98.08782288	133.909057
43.5	98.08782288	140.7390524
44	98.08782288	143.4803827
44.5	98.08782288	148.1835752
45	98.08782288	144.2675625
45.5	98.08782288	146.0610741
46	98.08782288	142.7447553
46.5	98.08782288	141.6812919
47	98.08782288	139.348306
47.5	98.08782288	142.0489805
48	98.08782288	139.3845897
48.5	98.08782288	144.7795288
49	98.08782288	146.9043687
49.5	98.08782288	138.182953
50	98.08782288	136.6319351
50.5	98.08782288	137.49304
51	98.08782288	141.6031828
51.5	98.08782288	144.7078271
52	98.08782288	142.7275914
52.5	98.08782288	145.6453027
53	98.08782288	152.6414408
53.5	98.08782288	154.1792567
54	98.08782288	147.2064078
54.5	98.08782288	141.0962234
55	98.08782288	135.7646546
55.5	98.08782288	127.4347429
56	98.08782288	133.6990752
56.5	98.08782288	133.56565
57	98.08782288	133.7092672
57.5	98.08782288	137.0000104
58	98.08782288	135.1739759
58.5	98.08782288	142.6408368
59	98.08782288	144.483795
59.5	98.08782288	144.0479344
60	98.08782288	150.8916768
60.5	98.08782288	150.4220065
61	98.08782288	150.6066298
61.5	98.08782288	148.6187244
62	98.08782288	145.9582841
62.5	98.08782288	148.6590346
63	98.08782288	134.4841472
63.5	98.08782288	134.8165682
64	98.08782288	133.8994593
64.5	98.08782288	136.1395768
65	98.08782288	142.5809212
65.5	98.08782288	144.9721765
66	98.08782288	147.4108607
66.5	98.08782288	152.5903305
67	98.08782288	149.7293331
67.5	98.08782288	153.7139648
68	98.08782288	151.3233069
68.5	98.08782288	151.224112
69	98.08782288	144.2024019
69.5	98.08782288	148.0795881
70	98.08782288	147.8999297
70.5	98.08782288	157.0701462
71	98.08782288	157.8331536
71.5	98.08782288	146.2011936
72	82.05154	133.2370097
72.5	82.05154	133.3673595
73	82.05154	130.6579035
73.5	82.05154	122.0642762
74	82.05154	129.4263828
74.5	82.05154	120.9455086
75	82.05154	127.5836682
75.5	82.05154	127.9922758
76	82.05154	118.6691954
76.5	82.05154	116.3599485
77	82.05154	114.0895319
77.5	82.05154	122.0825431
78	82.05154	116.0325906
78.5	82.05154	115.2472841
79	82.05154	109.2628617
79.5	82.05154	117.0183716
80	82.05154	120.0610394
80.5	82.05154	117.6050769
81	82.05154	123.5701651
81.5	82.05154	119.9729055
82	82.05154	120.3350575
82.5	82.05154	121.9026813
83	82.05154	113.7260872
83.5	82.05154	109.89648
84	82.05154	107.2162065
84.5	82.05154	118.4234342
85	82.05154	122.0243403
85.5	82.05154	121.2747976
86	82.05154	116.4833465
86.5	82.05154	119.8750514
87	82.05154	131.3609334
87.5	82.05154	127.5952839
88	82.05154	121.0642588
88.5	82.05154	124.238762
89	82.05154	129.0318431
89.5	82.05154	130.7900126
90	82.05154	125.3198269
90.5	82.05154	121.7954292
91	82.05154	122.6838239
91.5	82.05154	124.4998416
92	82.05154	121.3198809
92.5	82.05154	116.3181237
93	82.05154	119.0089533
93.5	82.05154	124.0129327
94	82.05154	125.4967968
94.5	82.05154	119.0863292
95	82.05154	120.707505
95.5	82.05154	120.4516883
96	82.05154	118.7288146
96.5	82.05154	118.1273531
97	82.05154	112.7427438
97.5	82.05154	114.5399841
98	82.05154	113.3279825
98.5	82.05154	113.6570622
99	82.05154	110.2379546
99.5	82.05154	115.7958651
100	82.05154	117.0358915
100.5	82.05154	121.0110194
101	82.05154	118.4981979
101.5	82.05154	118.2900446
102	82.05154	115.6775912
102.5	82.05154	111.6877995
103	82.05154	119.4071815
103.5	82.05154	125.6513917
104	82.05154	131.5209668
104.5	82.05154	125.7125764
105	82.05154	126.7003575
105.5	82.05154	124.6583864
106	82.05154	127.0640518
106.5	82.05154	127.0363223
107	82.05154	128.0461289
107.5	82.05154	132.1197209
108	82.05154	129.8755156
108.5	82.05154	126.1488302
109	82.05154	118.197713
109.5	82.05154	116.6978167
110	82.05154	113.1640602
110.5	82.05154	124.7589048
111	51.85567338	108.8583789
111.5	51.85567338	90.62599945
112	51.85567338	80.56741465
112.5	51.85567338	77.15768165
113	51.85567338	71.29487413
113.5	51.85567338	69.18220803
114	51.85567338	78.45331029
114.5	51.85567338	78.24487512
115	51.85567338	84.66304787
115.5	51.85567338	77.1333683
116	51.85567338	75.45521096
116.5	51.85567338	72.79473252
117	51.85567338	74.55298971
117.5	51.85567338	69.10233092
118	51.85567338	82.31218348
118.5	51.85567338	81.5555178
119	51.85567338	89.27068508
119.5	51.85567338	81.33063111
120	51.85567338	79.33072284
120.5	51.85567338	74.29699109
121	51.85567338	77.03967712
121.5	51.85567338	76.56395254
122	51.85567338	65.70442113
122.5	51.85567338	65.09154768
123	51.85567338	69.21647127
123.5	51.85567338	76.76268492
124	51.85567338	79.02708039
124.5	51.85567338	80.08968667
125	51.85567338	77.27506104
125.5	51.85567338	75.48349407
126	51.85567338	71.1831395
126.5	51.85567338	69.25189924
127	51.85567338	72.28566136
127.5	51.85567338	67.75655938
128	51.85567338	64.8636393
128.5	51.85567338	67.76631598
129	51.85567338	79.73795797
129.5	51.85567338	84.55410877
130	51.85567338	82.53564842
130.5	51.85567338	86.12502406
131	51.85567338	91.43715858
131.5	51.85567338	86.10663085
132	51.85567338	88.42551579
132.5	51.85567338	86.53430011
133	51.85567338	85.38767268
133.5	51.85567338	74.59214804
134	51.85567338	76.24346604
134.5	51.85567338	82.21437452
135	51.85567338	81.67564107
135.5	51.85567338	75.62126759
136	51.85567338	77.84666608
136.5	51.85567338	81.5626693
137	51.85567338	83.93761052
137.5	51.85567338	82.34845554
138	51.85567338	77.5041592
138.5	51.85567338	73.33134028
139	51.85567338	77.7683835
139.5	51.85567338	79.71329381
140	51.85567338	75.84962742
140.5	51.85567338	68.93715266
141	51.85567338	68.23942728
141.5	51.85567338	75.05624935
142	51.85567338	68.69815657
142.5	51.85567338	73.14660274
143	51.85567338	72.62242756
143.5	51.85567338	73.83774401
144	51.85567338	75.38565373
144.5	51.85567338	70.4380969
145	51.85567338	74.6005193
145.5	51.85567338	70.20363349
146	51.85567338	77.90620154
146.5	51.85567338	76.56475966
147	51.85567338	75.48463761
147.5	51.85567338	76.45287003
148	51.85567338	74.78638238
148.5	51.85567338	79.09377901
149	51.85567338	79.59687405
149.5	51.85567338	82.06879424
150	51.85567338	85.33166233
150.5	51.85567338	85.27118068
151	51.85567338	82.73255796
151.5	51.85567338	74.53313454
152	51.85567338	78.85485606
152.5	51.85567338	81.10087327
153	51.85567338	80.08173998
153.5	51.85567338	83.60748119
154	51.85567338	84.63055849
154.5	51.85567338	87.59497582
155	51.85567338	83.59429717
155.5	51.85567338	84.43748267
156	51.85567338	80.79846396
156.5	51.85567338	83.34642602
157	51.85567338	86.55930762
157.5	51.85567338	84.4734808
158	51.85567338	71.41152108
158.5	51.85567338	77.86518845
159	51.85567338	77.68744772
159.5	51.85567338	79.22031978
160	51.85567338	73.62196062
160.5	51.85567338	78.40185266
161	51.85567338	76.04932709
161.5	51.85567338	79.12833333
162	51.85567338	76.57948244
162.5	51.85567338	78.69865284
163	51.85567338	81.71356052
163.5	51.85567338	71.90179921
164	51.85567338	71.44649025
164.5	51.85567338	74.62815321
165	51.85567338	72.56582527
165.5	51.85567338	79.73797864
166	51.85567338	81.48159309
166.5	51.85567338	82.16065598
167	51.85567338	82.96094718
167.5	51.85567338	85.55218316
168	51.85567338	81.99960042
168.5	51.85567338	76.49428632
169	51.85567338	66.35438455
169.5	51.85567338	65.4599539
170	51.85567338	72.30651322
170.5	51.85567338	69.8929242
171	51.85567338	67.15059145
171.5	51.85567338	72.62479274
172	51.85567338	71.84342982
172.5	51.85567338	68.65007679
173	51.85567338	80.91081359
173.5	51.85567338	81.3689198
174	51.85567338	81.30539478
174.5	51.85567338	85.32594708
175	51.85567338	78.23682855
175.5	51.85567338	73.43812415
176	51.85567338	75.02540058
176.5	51.85567338	79.73052188
177	51.85567338	74.74973911
177.5	51.85567338	71.58775316
178	51.85567338	78.78763137
178.5	51.85567338	76.4459873
179	51.85567338	73.16164523
179.5	51.85567338	82.31585546
180	51.85567338	83.18075758
180.5	51.85567338	79.44889794
181	51.85567338	79.6669805
181.5	51.85567338	87.28963478
182	51.85567338	81.21724599
182.5	51.85567338	76.93737901
183	51.85567338	74.58643799
183.5	51.85567338	84.50773622
184	51.85567338	86.09900498
184.5	51.85567338	86.57555728
185	51.85567338	80.49997879
185.5	51.85567338	85.15094121
186	51.85567338	83.09576874
186.5	51.85567338	75.95291567
187	51.85567338	78.2437375
187.5	51.85567338	80.9969767
188	51.85567338	81.69369164
188.5	51.85567338	83.30703224
189	51.85567338	71.21872485
189.5	51.85567338	74.86449042
190	51.85567338	71.97133782
190.5	51.85567338	75.6850256
191	51.85567338	82.57174787
191.5	51.85567338	83.58783142
192	51.85567338	77.73333859
192.5	51.85567338	77.89725583
193	51.85567338	81.97548354
193.5	51.85567338	85.7703759
194	51.85567338	80.34209678
194.5	51.85567338	76.97920979
195	51.85567338	75.86635038
195.5	51.85567338	74.90104273
196	51.85567338	73.32121087
196.5	51.85567338	73.78201917
197	51.85567338	81.67907944
197.5	51.85567338	77.3927503
198	51.85567338	78.11003783
198.5	51.85567338	71.04867392
199	51.85567338	76.03516007
199.5	51.85567338	78.14529304
200	51.85567338	75.50446143
200.5	51.85567338	66.79491852
201	51.85567338	67.37459768
201.5	51.85567338	78.72993319
202	51.85567338	84.88920576
202.5	51.85567338	77.02781132
203	51.85567338	82.69686618
203.5	51.85567338	83.20880784
204	51.85567338	79.90002936
204.5	51.85567338	72.40876874
205	86.44730931	98.29947144
205.5	86.44730931	113.4399693
206	86.44730931	120.7311094
206.5	86.44730931	124.28991
207	86.44730931	129.5747371
207.5	86.44730931	130.546225
208	86.44730931	132.3935962
208.5	86.44730931	129.2366386
209	86.44730931	131.085907
209.5	86.44730931	116.0571465
210	86.44730931	123.7596353
210.5	86.44730931	120.7597617
211	86.44730931	125.3506592
211.5	86.44730931	124.4312347
212	86.44730931	118.0200771
212.5	86.44730931	122.8246508
213	86.44730931	127.2091643
213.5	86.44730931	123.4350239
214	86.44730931	130.1944144
214.5	86.44730931	128.9208945
215	86.44730931	128.7663663
215.5	86.44730931	118.4700079
216	86.44730931	128.552015
216.5	86.44730931	131.7735378
217	86.44730931	134.2027513
217.5	86.44730931	132.0839193
218	86.44730931	133.9185631
218.5	86.44730931	131.2458166
219	86.44730931	134.5369342
